ElectionDistrict,ElectionPrecinct,JurisdictionCode,JurisdictionName,RaceDate,RaceName,ResultsTime,ResultsType,sourcetype,"total_cast","total_registered","total_turnout","_raw","_time"
;VOTER TURNOUT - Democratic;33.95
;VOTER TURNOUT - Non-Partisan;4.41
;VOTER TURNOUT - BLANK;.04
;
;","1571302940.09"

008,001,0801,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","12:12 AM","OFFICIAL RESULTS
",test,587,3614,"16.24","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:12:12 AM;June 26, 2018
;STATISTICS
;0801 008-001
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;3614
;REGISTERED VOTERS - Republican;898;24.85
;REGISTERED VOTERS - Democratic;1926;53.29
;REGISTERED VOTERS - Non-Partisan;790;21.86
;BALLOTS CAST - TOTAL;587
;BALLOTS CAST - Republican;89;15.16
;BALLOTS CAST - Democratic;486;82.79
;BALLOTS CAST - Non-Partisan;12;2.04
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;16.24
;VOTER TURNOUT - Republican;9.91
;VOTER TURNOUT - Democratic;25.23
;VOTER TURNOUT - Non-Partisan;1.52
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

010,004,1004,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:04 AM","OFFICIAL RESULTS
",test,294,1557,"18.88","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:01:04 AM;June 26, 2018
;STATISTICS
;1004 010-004
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;1557
;REGISTERED VOTERS - Republican;304;19.52
;REGISTERED VOTERS - Democratic;809;51.96
;REGISTERED VOTERS - Non-Partisan;444;28.52
;BALLOTS CAST - TOTAL;294
;BALLOTS CAST - Republican;45;15.31
;BALLOTS CAST - Democratic;237;80.61
;BALLOTS CAST - Non-Partisan;12;4.08
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;18.88
;VOTER TURNOUT - Republican;14.80
;VOTER TURNOUT - Democratic;29.30
;VOTER TURNOUT - Non-Partisan;2.70
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

004,042,0442,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","09:52 PM","OFFICIAL RESULTS
",test,1,8,"12.50","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:09:52 PM;June 26, 2018
;STATISTICS
;0442 004-042
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;8
;REGISTERED VOTERS - Republican;2;25.00
;REGISTERED VOTERS - Democratic;3;37.50
;REGISTERED VOTERS - Non-Partisan;3;37.50
;BALLOTS CAST - TOTAL;1
;BALLOTS CAST - Republican;0
;BALLOTS CAST - Democratic;1;100.00
;BALLOTS CAST - Non-Partisan;0
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;12.50
;VOTER TURNOUT - Republican;.
;VOTER TURNOUT - Democratic;33.33
;VOTER TURNOUT - Non-Partisan;.
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

004,001,0401,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:42 PM","OFFICIAL RESULTS
",test,495,3617,"13.69","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:01:42 PM;June 26, 2018
;STATISTICS
;0401 004-001
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;3617
;REGISTERED VOTERS - Republican;513;14.18
;REGISTERED VOTERS - Democratic;2231;61.68
;REGISTERED VOTERS - Non-Partisan;873;24.14
;BALLOTS CAST - TOTAL;495
;BALLOTS CAST - Republican;45;9.09
;BALLOTS CAST - Democratic;426;86.06
;BALLOTS CAST - Non-Partisan;24;4.85
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;13.69
;VOTER TURNOUT - Republican;8.77
;VOTER TURNOUT - Democratic;19.09
;VOTER TURNOUT - Non-Partisan;2.75
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

005,003,0503,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","07:06 PM","OFFICIAL RESULTS
",test,664,4047,"16.41","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:07:06 PM;June 26, 2018
;STATISTICS
;0503 005-003
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;4047
;REGISTERED VOTERS - Republican;486;12.01
;REGISTERED VOTERS - Democratic;2766;68.35
;REGISTERED VOTERS - Non-Partisan;795;19.64
;BALLOTS CAST - TOTAL;664
;BALLOTS CAST - Republican;45;6.78
;BALLOTS CAST - Democratic;590;88.86
;BALLOTS CAST - Non-Partisan;29;4.37
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;16.41
;VOTER TURNOUT - Republican;9.26
;VOTER TURNOUT - Democratic;21.33
;VOTER TURNOUT - Non-Partisan;3.65
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

007,021,0721,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","12:08 AM","OFFICIAL RESULTS
",test,320,1237,"25.87","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:12:08 AM;June 26, 2018
;STATISTICS
;0721 007-021
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;1237
;REGISTERED VOTERS - Republican;256;20.70
;REGISTERED VOTERS - Democratic;750;60.63
;REGISTERED VOTERS - Non-Partisan;231;18.67
;BALLOTS CAST - TOTAL;320
;BALLOTS CAST - Republican;26;8.13
;BALLOTS CAST - Democratic;289;90.31
;BALLOTS CAST - Non-Partisan;5;1.56
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;25.87
;VOTER TURNOUT - Republican;10.16
;VOTER TURNOUT - Democratic;38.53
;VOTER TURNOUT - Non-Partisan;2.16
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

004,011,0411,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:54 PM","OFFICIAL RESULTS
",test,108,770,"14.03","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:01:54 PM;June 26, 2018
;STATISTICS
;0411 004-011
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;770
;REGISTERED VOTERS - Republican;172;22.34
;REGISTERED VOTERS - Democratic;434;56.36
;REGISTERED VOTERS - Non-Partisan;164;21.30
;BALLOTS CAST - TOTAL;108
;BALLOTS CAST - Republican;10;9.26
;BALLOTS CAST - Democratic;94;87.04
;BALLOTS CAST - Non-Partisan;4;3.70
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;14.03
;VOTER TURNOUT - Republican;5.81
;VOTER TURNOUT - Democratic;21.66
;VOTER TURNOUT - Non-Partisan;2.44
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

004,019,0419,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","03:57 PM","OFFICIAL RESULTS
",test,280,1926,"14.54","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:03:57 PM;June 26, 2018
;STATISTICS
;0419 004-019
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;1926
;REGISTERED VOTERS - Republican;360;18.69
;REGISTERED VOTERS - Democratic;1008;52.34
;REGISTERED VOTERS - Non-Partisan;558;28.97
;BALLOTS CAST - TOTAL;280
;BALLOTS CAST - Republican;44;15.71
;BALLOTS CAST - Democratic;221;78.93
;BALLOTS CAST - Non-Partisan;15;5.36
;BALLOTS CAST - BLANK;3;1.07
;VOTER TURNOUT - TOTAL;14.54
;VOTER TURNOUT - Republican;12.22
;VOTER TURNOUT - Democratic;21.92
;VOTER TURNOUT - Non-Partisan;2.69
;VOTER TURNOUT - BLANK;.16
;
;","1571302940.09"

008,002,0802,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","12:13 AM","OFFICIAL RESULTS
",test,665,3994,"16.65","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:12:13 AM;June 26, 2018
;STATISTICS
;0802 008-002
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;3994
;REGISTERED VOTERS - Republican;1089;27.27
;REGISTERED VOTERS - Democratic;2074;51.93
;REGISTERED VOTERS - Non-Partisan;831;20.81
;BALLOTS CAST - TOTAL;665
;BALLOTS CAST - Republican;116;17.44
;BALLOTS CAST - Democratic;535;80.45
;BALLOTS CAST - Non-Partisan;14;2.11
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;16.65
;VOTER TURNOUT - Republican;10.65
;VOTER TURNOUT - Democratic;25.80
;VOTER TURNOUT - Non-Partisan;1.68
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

013,003,1303,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:22 AM","OFFICIAL RESULTS
",test,580,2244,"25.85","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:01:22 AM;June 26, 2018
;STATISTICS
;1303 013-003
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2244
;REGISTERED VOTERS - Republican;372;16.58
;REGISTERED VOTERS - Democratic;1444;64.35
;REGISTERED VOTERS - Non-Partisan;428;19.07
;BALLOTS CAST - TOTAL;580
;BALLOTS CAST - Republican;46;7.93
;BALLOTS CAST - Democratic;523;90.17
;BALLOTS CAST - Non-Partisan;11;1.90
;BALLOTS CAST - BLANK;2;.34
;VOTER TURNOUT - TOTAL;25.85
;VOTER TURNOUT - Republican;12.37
;VOTER TURNOUT - Democratic;36.22
;VOTER TURNOUT - Non-Partisan;2.57
;VOTER TURNOUT - BLANK;.09
;
;","1571302940.09"

013,033,1333,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:33 AM","OFFICIAL RESULTS
",test,426,2049,"20.79","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:01:33 AM;June 26, 2018
;STATISTICS
;1333 013-033
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2049
;REGISTERED VOTERS - Republican;337;16.45
;REGISTERED VOTERS - Democratic;1298;63.35
;REGISTERED VOTERS - Non-Partisan;414;20.20
;BALLOTS CAST - TOTAL;426
;BALLOTS CAST - Republican;37;8.69
;BALLOTS CAST - Democratic;376;88.26
;BALLOTS CAST - Non-Partisan;13;3.05
;BALLOTS CAST - BLANK;1;.23
;VOTER TURNOUT - TOTAL;20.79
;VOTER TURNOUT - Republican;10.98
;VOTER TURNOUT - Democratic;28.97
;VOTER TURNOUT - Non-Partisan;3.14
;VOTER TURNOUT - BLANK;.05
;
;","1571302940.09"

004,038,0438,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","09:46 PM","OFFICIAL RESULTS
",test,10,83,"12.05","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:09:46 PM;June 26, 2018
;STATISTICS
;0438 004-038
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;83
;REGISTERED VOTERS - Republican;9;10.84
;REGISTERED VOTERS - Democratic;45;54.22
;REGISTERED VOTERS - Non-Partisan;29;34.94
;BALLOTS CAST - TOTAL;10
;BALLOTS CAST - Republican;1;10.00
;BALLOTS CAST - Democratic;9;90.00
;BALLOTS CAST - Non-Partisan;0
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;12.05
;VOTER TURNOUT - Republican;11.11
;VOTER TURNOUT - Democratic;20.00
;VOTER TURNOUT - Non-Partisan;.
;VOTER TURNOUT - BLANK;.
;
;","1571302940.09"

009,029,0929,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","12:56 AM","OFFICIAL RESULTS
",test,363,2478,"14.65","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:12:56 AM;June 26, 2018
;STATISTICS
;0929 009-029
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2478
;REGISTERED VOTERS - Republican;393;15.86
;REGISTERED VOTERS - Democratic;1480;59.73
;REGISTERED VOTERS - Non-Partisan;605;24.41
;BALLOTS CAST - TOTAL;363
;BALLOTS CAST - Republican;53;14.60
;BALLOTS CAST - Democratic;292;80.44
;BALLOTS CAST - Non-Partisan;18;4.96
;BALLOTS CAST - BLANK;3;.83
;VOTER TURNOUT - TOTAL;14.65
;VOTER TURNOUT - Republican;13.49
;VOTER TURNOUT - Democratic;19.73
;VOTER TURNOUT - Non-Partisan;2.98
;VOTER TURNOUT - BLANK;.12
;
;","1571302940.09"

008,011,0811,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","12:16 AM","OFFICIAL RESULTS
",test,420,2689,"15.62","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:12:16 AM;June 26, 2018
;STATISTICS
;0811 008-011
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2689
;REGISTERED VOTERS - Republican;563;20.94
;REGISTERED VOTERS - Democratic;1496;55.63
;REGISTERED VOTERS - Non-Partisan;630;23.43
;BALLOTS CAST - TOTAL;420
;BALLOTS CAST - Republican;46;10.95
;BALLOTS CAST - Democratic;353;84.05
;BALLOTS CAST - Non-Partisan;21;5.00
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;15.62
;VOTER TURNOUT - Republican;8.17
;VOTER TURNOUT - Democratic;23.60
;VOTER TURNOUT - Non-Partisan;3.33
;VOTER TURNOUT - BLANK;.
;
;","1571302940.1"

003,002,0302,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:40 PM","OFFICIAL RESULTS
",test,440,2296,"19.16","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:01:40 PM;June 26, 2018
;STATISTICS
;0302 003-002
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2296
;REGISTERED VOTERS - Republican;828;36.06
;REGISTERED VOTERS - Democratic;900;39.20
;REGISTERED VOTERS - Non-Partisan;568;24.74
;BALLOTS CAST - TOTAL;440
;BALLOTS CAST - Republican;133;30.23
;BALLOTS CAST - Democratic;287;65.23
;BALLOTS CAST - Non-Partisan;20;4.55
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;19.16
;VOTER TURNOUT - Republican;16.06
;VOTER TURNOUT - Democratic;31.89
;VOTER TURNOUT - Non-Partisan;3.52
;VOTER TURNOUT - BLANK;.
;
;","1571302940.1"

013,060,1360,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:44 AM","OFFICIAL RESULTS
",test,1,46,"2.17","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/17/18;Montgomery, Maryland
;RUN TIME:01:44 AM;June 26, 2018
;STATISTICS
;1360 013-060
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;46
;REGISTERED VOTERS - Republican;12;26.09
;REGISTERED VOTERS - Democratic;12;26.09
;REGISTERED VOTERS - Non-Partisan;22;47.83
;BALLOTS CAST - TOTAL;1
;BALLOTS CAST - Republican;0
;BALLOTS CAST - Democratic;1;100.00
;BALLOTS CAST - Non-Partisan;0
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;2.17
;VOTER TURNOUT - Republican;.
;VOTER TURNOUT - Democratic;8.33
;VOTER TURNOUT - Non-Partisan;.
;VOTER TURNOUT - BLANK;.
;
;","1571302940.1"

006,013,0613,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","09:08 PM","OFFICIAL RESULTS
",test,294,1890,"15.56","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:09:08 PM;June 26, 2018
;STATISTICS
;0613 006-013
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;1890
;REGISTERED VOTERS - Republican;390;20.63
;REGISTERED VOTERS - Democratic;1000;52.91
;REGISTERED VOTERS - Non-Partisan;500;26.46
;BALLOTS CAST - TOTAL;294
;BALLOTS CAST - Republican;47;15.99
;BALLOTS CAST - Democratic;234;79.59
;BALLOTS CAST - Non-Partisan;13;4.42
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;15.56
;VOTER TURNOUT - Republican;12.05
;VOTER TURNOUT - Democratic;23.40
;VOTER TURNOUT - Non-Partisan;2.60
;VOTER TURNOUT - BLANK;.
;
;","1571302940.1"

004,026,0426,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","06:33 PM","OFFICIAL RESULTS
",test,319,2062,"15.47","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:06:33 PM;June 26, 2018
;STATISTICS
;0426 004-026
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;2062
;REGISTERED VOTERS - Republican;369;17.90
;REGISTERED VOTERS - Democratic;1194;57.90
;REGISTERED VOTERS - Non-Partisan;499;24.20
;BALLOTS CAST - TOTAL;319
;BALLOTS CAST - Republican;52;16.30
;BALLOTS CAST - Democratic;254;79.62
;BALLOTS CAST - Non-Partisan;13;4.08
;BALLOTS CAST - BLANK;2;.63
;VOTER TURNOUT - TOTAL;15.47
;VOTER TURNOUT - Republican;14.09
;VOTER TURNOUT - Democratic;21.27
;VOTER TURNOUT - Non-Partisan;2.61
;VOTER TURNOUT - BLANK;.10
;
;","1571302940.1"

006,015,0615,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","09:09 PM","OFFICIAL RESULTS
",test,489,4107,"11.91","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:09:09 PM;June 26, 2018
;STATISTICS
;0615 006-015
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;4107
;REGISTERED VOTERS - Republican;759;18.48
;REGISTERED VOTERS - Democratic;2133;51.94
;REGISTERED VOTERS - Non-Partisan;1215;29.58
;BALLOTS CAST - TOTAL;489
;BALLOTS CAST - Republican;67;13.70
;BALLOTS CAST - Democratic;394;80.57
;BALLOTS CAST - Non-Partisan;28;5.73
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;11.91
;VOTER TURNOUT - Republican;8.83
;VOTER TURNOUT - Democratic;18.47
;VOTER TURNOUT - Non-Partisan;2.30
;VOTER TURNOUT - BLANK;.
;
;","1571302940.1"

005,004,0504,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","07:07 PM","OFFICIAL RESULTS
",test,511,1740,"29.37","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:07:07 PM;June 26, 2018
;STATISTICS
;0504 005-004
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;1740
;REGISTERED VOTERS - Republican;290;16.67
;REGISTERED VOTERS - Democratic;1199;68.91
;REGISTERED VOTERS - Non-Partisan;251;14.43
;BALLOTS CAST - TOTAL;511
;BALLOTS CAST - Republican;86;16.83
;BALLOTS CAST - Democratic;421;82.39
;BALLOTS CAST - Non-Partisan;4;.78
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;29.37
;VOTER TURNOUT - Republican;29.66
;VOTER TURNOUT - Democratic;35.11
;VOTER TURNOUT - Non-Partisan;1.59
;VOTER TURNOUT - BLANK;.
;
;","1571302940.1"

002,007,0207,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","01:37 PM","OFFICIAL RESULTS
",test,3,94,"3.19","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:01:37 PM;June 26, 2018
;STATISTICS
;0207 002-007
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;94
;REGISTERED VOTERS - Republican;34;36.17
;REGISTERED VOTERS - Democratic;39;41.49
;REGISTERED VOTERS - Non-Partisan;21;22.34
;BALLOTS CAST - TOTAL;3
;BALLOTS CAST - Republican;1;33.33
;BALLOTS CAST - Democratic;2;66.67
;BALLOTS CAST - Non-Partisan;0
;BALLOTS CAST - BLANK;0
;VOTER TURNOUT - TOTAL;3.19
;VOTER TURNOUT - Republican;2.94
;VOTER TURNOUT - Democratic;5.13
;VOTER TURNOUT - Non-Partisan;.
;VOTER TURNOUT - BLANK;.
;
;","1571302940.1"

004,037,0437,"Montgomery, Maryland
","June 26, 2018
","Gubernatorial Primary Election","09:46 PM","OFFICIAL RESULTS
",test,30,232,"12.93","Precinct Summary;Gubernatorial Primary Election;OFFICIAL RESULTS
;Run Date:07/16/18;Montgomery, Maryland
;RUN TIME:09:46 PM;June 26, 2018
;STATISTICS
;0437 004-037
;VOTES;PERCENT
;
;REGISTERED VOTERS - TOTAL;232
;REGISTERED VOTERS - Republican;17;7.33
;REGISTERED VOTERS - Democratic;157;67.67
;REGISTERED VOTERS - Non-Partisan;58;25.00
;BALLOTS CAST - TOTAL;30
;BALLOTS CAST - Republican;0
